"ensembl_gene_id"	"drerio_homolog_ensembl_gene"	"drerio_homolog_orthology_confidence"	"drerio_homolog_orthology_type"	"drerio_homolog_associated_gene_name"	"external_gene_name"
"50"	"ENSMUSG00002075400"	NA	NA	NA	NA	NA
"51"	"ENSMUSG00000096776"	NA	NA	NA	NA	"Vmn1r186"
"52"	"ENSMUSG00000094303"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"53"	"ENSMUSG00002076890"	NA	NA	NA	NA	NA
"54"	"ENSMUSG00002074899"	NA	NA	NA	NA	NA
"55"	"ENSMUSG00002075729"	NA	NA	NA	NA	NA
"56"	"ENSMUSG00000074720"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"57"	"ENSMUSG00000096244"	NA	NA	NA	NA	NA
"58"	"ENSMUSG00000095092"	NA	NA	NA	NA	NA
"59"	"ENSMUSG00000079808"	NA	NA	NA	NA	NA
"60"	"ENSMUSG00000095787"	NA	NA	NA	NA	NA
"61"	"ENSMUSG00000096236"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"62"	"ENSMUSG00000096680"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"63"	"ENSMUSG00000094383"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"64"	"ENSMUSG00000094874"	NA	NA	NA	NA	NA
"65"	"ENSMUSG00000079192"	NA	NA	NA	NA	NA
"66"	"ENSMUSG00000096100"	NA	NA	NA	NA	NA
"67"	"ENSMUSG00000096756"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"68"	"ENSMUSG00000094337"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"69"	"ENSMUSG00000095500"	NA	NA	NA	NA	NA
"70"	"ENSMUSG00000095505"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"71"	"ENSMUSG00000079794"	NA	NA	NA	NA	NA
"72"	"ENSMUSG00000094054"	NA	NA	NA	NA	NA
"73"	"ENSMUSG00000095672"	NA	NA	NA	NA	NA
"74"	"ENSMUSG00000079190"	NA	NA	NA	NA	NA
"75"	"ENSMUSG00000094799"	NA	NA	NA	NA	NA
"76"	"ENSMUSG00000095450"	NA	NA	NA	NA	NA
"77"	"ENSMUSG00000094474"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"78"	"ENSMUSG00000095570"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"79"	"ENSMUSG00000094728"	NA	NA	NA	NA	NA
"80"	"ENSMUSG00000062783"	NA	NA	NA	NA	"Csprs"
"81"	"ENSMUSG00000094791"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"82"	"ENSMUSG00000096728"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"83"	"ENSMUSG00000094514"	"ENSDARG00000035066"	0	"ortholog_many2many"	"ubtf"	NA
"84"	"ENSMUSG00000094514"	"ENSDARG00000038780"	0	"ortholog_many2many"	"ubtfl"	NA
"85"	"ENSMUSG00000096550"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	"Gm16367"
"86"	"ENSMUSG00000096808"	NA	NA	NA	NA	NA
"87"	"ENSMUSG00000094172"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"88"	"ENSMUSG00000094887"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"89"	"ENSMUSG00000091585"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"90"	"ENSMUSG00000095763"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"91"	"ENSMUSG00000095523"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"92"	"ENSMUSG00000095475"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"93"	"ENSMUSG00000094855"	"ENSDARG00000036493"	0	"ortholog_one2many"	NA	NA
"94"	"ENSMUSG00000100384"	NA	NA	NA	NA	"Gm28489"
"95"	"ENSMUSG00000100216"	NA	NA	NA	NA	"Gm21867"
"96"	"ENSMUSG00000099641"	NA	NA	NA	NA	"Gm29448"
"97"	"ENSMUSG00000100271"	NA	NA	NA	NA	"Gm21127"
"98"	"ENSMUSG00000095634"	"ENSDARG00000035697"	0	"ortholog_one2many"	"spinb"	"Gm20816"
"99"	"ENSMUSG00000101393"	NA	NA	NA	NA	"Gm29447"
"100"	"ENSMUSG00000100885"	NA	NA	NA	NA	"Gm29446"
"101"	"ENSMUSG00000101120"	NA	NA	NA	NA	"Gm29452"
"102"	"ENSMUSG00000101216"	NA	NA	NA	NA	"Gm29451"
"103"	"ENSMUSG00000100032"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm20817"
"104"	"ENSMUSG00000101080"	NA	NA	NA	NA	"Gm28633"
"105"	"ENSMUSG00000094444"	NA	NA	NA	NA	"Gm21562"
"106"	"ENSMUSG00000100308"	NA	NA	NA	NA	"Gm29410"
"107"	"ENSMUSG00000101423"	NA	NA	NA	NA	"Gm28298"
"108"	"ENSMUSG00000095626"	NA	NA	NA	NA	"Gm21572"
"109"	"ENSMUSG00000101761"	NA	NA	NA	NA	"Gm28297"
"110"	"ENSMUSG00000099493"	NA	NA	NA	NA	"Gm21753"
"111"	"ENSMUSG00000096777"	NA	NA	NA	NA	"Gm21723"
"112"	"ENSMUSG00000102119"	NA	NA	NA	NA	"Gm28462"
"113"	"ENSMUSG00000101147"	NA	NA	NA	NA	"Gm20818"
"114"	"ENSMUSG00000100739"	NA	NA	NA	NA	"Gm28296"
"115"	"ENSMUSG00000095345"	NA	NA	NA	NA	"Gm21821"
"116"	"ENSMUSG00000100709"	NA	NA	NA	NA	"Gm28295"
"117"	"ENSMUSG00000101254"	NA	NA	NA	NA	"Gm20932"
"118"	"ENSMUSG00000100976"	NA	NA	NA	NA	"Gm29134"
"119"	"ENSMUSG00000100489"	NA	NA	NA	NA	"Gm28303"
"120"	"ENSMUSG00000101239"	NA	NA	NA	NA	"Gm28304"
"121"	"ENSMUSG00000100971"	NA	NA	NA	NA	"Gm28824"
"122"	"ENSMUSG00000100509"	NA	NA	NA	NA	"Gm21810"
"123"	"ENSMUSG00000095553"	NA	NA	NA	NA	"Gm21916"
"124"	"ENSMUSG00000101099"	NA	NA	NA	NA	"Gm29191"
"125"	"ENSMUSG00000095049"	NA	NA	NA	NA	"Gm21756"
"126"	"ENSMUSG00000101601"	NA	NA	NA	NA	"Gm28210"
"127"	"ENSMUSG00000101516"	NA	NA	NA	NA	"Gm29074"
"128"	"ENSMUSG00000101359"	NA	NA	NA	NA	"Gm28211"
"129"	"ENSMUSG00000100790"	NA	NA	NA	NA	"Gm28518"
"130"	"ENSMUSG00000101302"	NA	NA	NA	NA	"Gm28519"
"131"	"ENSMUSG00000102125"	NA	NA	NA	NA	"Gm28520"
"132"	"ENSMUSG00000094064"	NA	NA	NA	NA	"Gm21626"
"133"	"ENSMUSG00000101421"	NA	NA	NA	NA	"Gm28433"
"134"	"ENSMUSG00000099461"	NA	NA	NA	NA	"Gm28521"
"135"	"ENSMUSG00000101706"	NA	NA	NA	NA	"Gm28431"
"136"	"ENSMUSG00000096532"	NA	NA	NA	NA	"Gm21633"
"137"	"ENSMUSG00000101627"	NA	NA	NA	NA	"Gm28432"
"138"	"ENSMUSG00000101852"	NA	NA	NA	NA	"Gm20886"
"139"	"ENSMUSG00000101681"	NA	NA	NA	NA	"Gm28522"
"140"	"ENSMUSG00000099438"	NA	NA	NA	NA	"Gm21808"
"141"	"ENSMUSG00000101870"	NA	NA	NA	NA	"Gm21745"
"142"	"ENSMUSG00000101472"	NA	NA	NA	NA	"Gm28517"
"143"	"ENSMUSG00000101407"	NA	NA	NA	NA	"Gm29532"
"144"	"ENSMUSG00000099500"	NA	NA	NA	NA	"Gm29531"
"145"	"ENSMUSG00000100097"	NA	NA	NA	NA	"Gm28464"
"146"	"ENSMUSG00000099806"	NA	NA	NA	NA	"Gm28841"
"147"	"ENSMUSG00000101474"	NA	NA	NA	NA	"Gm29656"
"148"	"ENSMUSG00000099704"	NA	NA	NA	NA	"Gm28842"
"149"	"ENSMUSG00000101383"	NA	NA	NA	NA	"Gm28843"
"150"	"ENSMUSG00000099737"	NA	NA	NA	NA	"Gm29655"
"151"	"ENSMUSG00000099914"	NA	NA	NA	NA	"Gm28837"
"152"	"ENSMUSG00000101417"	NA	NA	NA	NA	"Gm21647"
"153"	"ENSMUSG00000101654"	NA	NA	NA	NA	"Gm29653"
"154"	"ENSMUSG00000099369"	NA	NA	NA	NA	"Gm28838"
"155"	"ENSMUSG00000101808"	NA	NA	NA	NA	"Gm29654"
"156"	"ENSMUSG00000101893"	NA	NA	NA	NA	"Gm28839"
"157"	"ENSMUSG00000099910"	NA	NA	NA	NA	"Gm29651"
"158"	"ENSMUSG00000100442"	NA	NA	NA	NA	"Gm20866"
"159"	"ENSMUSG00000101518"	NA	NA	NA	NA	"Gm20868"
"160"	"ENSMUSG00000099818"	NA	NA	NA	NA	"Gm29652"
"161"	"ENSMUSG00000100500"	NA	NA	NA	NA	"Gm29080"
"162"	"ENSMUSG00000100677"	NA	NA	NA	NA	"Gm21184"
"163"	"ENSMUSG00000100171"	NA	NA	NA	NA	"Gm21201"
"164"	"ENSMUSG00000101255"	NA	NA	NA	NA	"Gm21841"
"165"	"ENSMUSG00000099463"	NA	NA	NA	NA	"Gm29081"
"166"	"ENSMUSG00000100745"	NA	NA	NA	NA	"Gm29077"
"167"	"ENSMUSG00000101341"	NA	NA	NA	NA	"Gm29076"
"168"	"ENSMUSG00000100193"	NA	NA	NA	NA	"Gm29079"
"169"	"ENSMUSG00000099651"	NA	NA	NA	NA	"Gm29078"
"170"	"ENSMUSG00000101787"	NA	NA	NA	NA	"Gm20853"
"171"	"ENSMUSG00000101043"	NA	NA	NA	NA	"Gm29075"
"172"	"ENSMUSG00000100535"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm20870"
"173"	"ENSMUSG00000099390"	NA	NA	NA	NA	"Gm29225"
"174"	"ENSMUSG00000099738"	NA	NA	NA	NA	"Gm28483"
"175"	"ENSMUSG00000100422"	NA	NA	NA	NA	"Gm29226"
"176"	"ENSMUSG00000101988"	NA	NA	NA	NA	"Gm28484"
"177"	"ENSMUSG00000100385"	NA	NA	NA	NA	"Gm29227"
"178"	"ENSMUSG00000101336"	NA	NA	NA	NA	"Gm28480"
"179"	"ENSMUSG00000101593"	NA	NA	NA	NA	"Gm20842"
"180"	"ENSMUSG00000099733"	NA	NA	NA	NA	"Gm21880"
"181"	"ENSMUSG00000101626"	NA	NA	NA	NA	"Gm29386"
"182"	"ENSMUSG00000101091"	NA	NA	NA	NA	"Gm29384"
"183"	"ENSMUSG00000100229"	NA	NA	NA	NA	"Gm21896"
"184"	"ENSMUSG00000101691"	NA	NA	NA	NA	"Gm29280"
"185"	"ENSMUSG00000100540"	NA	NA	NA	NA	"Gm20799"
"186"	"ENSMUSG00000100244"	NA	NA	NA	NA	"Gm29279"
"187"	"ENSMUSG00000100694"	NA	NA	NA	NA	"Gm29182"
"188"	"ENSMUSG00000099799"	NA	NA	NA	NA	"Gm28260"
"189"	"ENSMUSG00000099999"	NA	NA	NA	NA	"Gm21795"
"190"	"ENSMUSG00000101844"	NA	NA	NA	NA	"Gm20844"
"191"	"ENSMUSG00000101806"	NA	NA	NA	NA	"Gm28261"
"192"	"ENSMUSG00000101632"	NA	NA	NA	NA	"Gm28264"
"193"	"ENSMUSG00000099525"	NA	NA	NA	NA	"Gm21872"
"194"	"ENSMUSG00000100749"	NA	NA	NA	NA	"Gm20798"
"195"	"ENSMUSG00000099963"	NA	NA	NA	NA	"Gm28463"
"196"	"ENSMUSG00000101857"	NA	NA	NA	NA	"Gm21757"
"197"	"ENSMUSG00000101836"	NA	NA	NA	NA	"Gm28968"
"198"	"ENSMUSG00000102008"	NA	NA	NA	NA	"Gm28495"
"199"	"ENSMUSG00000100869"	NA	NA	NA	NA	"Gm20846"
"200"	"ENSMUSG00000101277"	NA	NA	NA	NA	"Gm20847"
"201"	"ENSMUSG00000099371"	NA	NA	NA	NA	"Gm20848"
"202"	"ENSMUSG00000100359"	NA	NA	NA	NA	"Gm21766"
"203"	"ENSMUSG00000099495"	NA	NA	NA	NA	"Gm20800"
"204"	"ENSMUSG00000101747"	NA	NA	NA	NA	"Gm21683"
"205"	"ENSMUSG00000100263"	NA	NA	NA	NA	"Gm28468"
"206"	"ENSMUSG00000101575"	NA	NA	NA	NA	"Gm20898"
"207"	"ENSMUSG00000101715"	NA	NA	NA	NA	"Gm21855"
"208"	"ENSMUSG00000100785"	NA	NA	NA	NA	"Gm29333"
"209"	"ENSMUSG00000101425"	NA	NA	NA	NA	"Gm29255"
"210"	"ENSMUSG00000100698"	NA	NA	NA	NA	"Gm20902"
"211"	"ENSMUSG00000099822"	NA	NA	NA	NA	"Gm28332"
"212"	"ENSMUSG00000099547"	NA	NA	NA	NA	"Gm28678"
"213"	"ENSMUSG00000101781"	NA	NA	NA	NA	"Gm28333"
"214"	"ENSMUSG00000101271"	NA	NA	NA	NA	"Gm28334"
"215"	"ENSMUSG00000099504"	NA	NA	NA	NA	"Gm28335"
"216"	"ENSMUSG00000099782"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm20903"
"217"	"ENSMUSG00000101377"	NA	NA	NA	NA	"Gm28336"
"218"	"ENSMUSG00000101038"	NA	NA	NA	NA	"Gm28272"
"219"	"ENSMUSG00000101709"	NA	NA	NA	NA	"Gm28337"
"220"	"ENSMUSG00000100604"	NA	NA	NA	NA	"Gm29256"
"221"	"ENSMUSG00000099554"	NA	NA	NA	NA	"Gm28259"
"222"	"ENSMUSG00000099814"	NA	NA	NA	NA	"Gm28338"
"223"	"ENSMUSG00000101757"	NA	NA	NA	NA	"Gm28273"
"224"	"ENSMUSG00000100179"	NA	NA	NA	NA	"Gm21715"
"225"	"ENSMUSG00000101815"	NA	NA	NA	NA	"Gm29028"
"226"	"ENSMUSG00000101538"	NA	NA	NA	NA	"Gm29029"
"227"	"ENSMUSG00000100251"	NA	NA	NA	NA	"Gm29615"
"228"	"ENSMUSG00000100983"	NA	NA	NA	NA	"Gm29030"
"229"	"ENSMUSG00000101820"	NA	NA	NA	NA	"Gm29023"
"230"	"ENSMUSG00000100283"	NA	NA	NA	NA	"Gm29024"
"231"	"ENSMUSG00000099832"	NA	NA	NA	NA	"Gm29025"
"232"	"ENSMUSG00000101246"	NA	NA	NA	NA	"Gm29026"
"233"	"ENSMUSG00000101382"	NA	NA	NA	NA	"Gm28213"
"234"	"ENSMUSG00000099967"	NA	NA	NA	NA	"Gm28212"
"235"	"ENSMUSG00000101161"	NA	NA	NA	NA	"Gm21799"
"236"	"ENSMUSG00000100705"	NA	NA	NA	NA	"Gm28227"
"237"	"ENSMUSG00000101157"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm20905"
"238"	"ENSMUSG00000099712"	NA	NA	NA	NA	"Gm29411"
"239"	"ENSMUSG00000099586"	NA	NA	NA	NA	"Gm28222"
"240"	"ENSMUSG00000100066"	NA	NA	NA	NA	"Gm21835"
"241"	"ENSMUSG00000101879"	NA	NA	NA	NA	"Gm28820"
"242"	"ENSMUSG00000099412"	NA	NA	NA	NA	"Gm28223"
"243"	"ENSMUSG00000101831"	NA	NA	NA	NA	"Gm29412"
"244"	"ENSMUSG00000100428"	NA	NA	NA	NA	"Gm29413"
"245"	"ENSMUSG00000099601"	NA	NA	NA	NA	"Gm29671"
"246"	"ENSMUSG00000101704"	NA	NA	NA	NA	"Gm21878"
"247"	"ENSMUSG00000101349"	NA	NA	NA	NA	"Gm28162"
"248"	"ENSMUSG00000100140"	NA	NA	NA	NA	"Gm28789"
"249"	"ENSMUSG00000101710"	NA	NA	NA	NA	"Gm20922"
"250"	"ENSMUSG00000094575"	"ENSDARG00000035697"	0	"ortholog_one2many"	"spinb"	"Gm20738"
"251"	"ENSMUSG00000101146"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm20814"
"252"	"ENSMUSG00000099499"	NA	NA	NA	NA	"Gm28787"
"253"	"ENSMUSG00000101213"	NA	NA	NA	NA	"Gm28788"
"254"	"ENSMUSG00000100952"	NA	NA	NA	NA	"Gm28545"
"255"	"ENSMUSG00000099730"	NA	NA	NA	NA	"Gm28547"
"256"	"ENSMUSG00000099896"	NA	NA	NA	NA	"Gm29278"
"257"	"ENSMUSG00000101873"	NA	NA	NA	NA	"Gm28546"
"258"	"ENSMUSG00000101980"	NA	NA	NA	NA	"Gm21922"
"259"	"ENSMUSG00000100203"	NA	NA	NA	NA	"Gm21924"
"260"	"ENSMUSG00000100669"	NA	NA	NA	NA	"Gm21111"
"261"	"ENSMUSG00000099460"	NA	NA	NA	NA	"Gm21735"
"262"	"ENSMUSG00000100260"	NA	NA	NA	NA	"Gm28608"
"263"	"ENSMUSG00000100675"	NA	NA	NA	NA	"Gm28607"
"264"	"ENSMUSG00000099807"	NA	NA	NA	NA	"Gm28771"
"265"	"ENSMUSG00000101435"	NA	NA	NA	NA	"Gm28772"
"266"	"ENSMUSG00000100544"	NA	NA	NA	NA	"Gm28606"
"267"	"ENSMUSG00000100883"	NA	NA	NA	NA	"Gm28773"
"268"	"ENSMUSG00000100902"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm20850"
"269"	"ENSMUSG00000100892"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm20897"
"270"	"ENSMUSG00000100673"	NA	NA	NA	NA	"Gm29574"
"271"	"ENSMUSG00000101050"	NA	NA	NA	NA	"Gm28774"
"272"	"ENSMUSG00000102025"	NA	NA	NA	NA	"Gm29575"
"273"	"ENSMUSG00000099793"	NA	NA	NA	NA	"Gm28775"
"274"	"ENSMUSG00000100699"	NA	NA	NA	NA	"Gm21765"
"275"	"ENSMUSG00000096438"	NA	NA	NA	NA	"Gapdh-ps15"
"276"	"ENSMUSG00000099351"	NA	NA	NA	NA	"Gm28776"
"277"	"ENSMUSG00000099489"	NA	NA	NA	NA	"Gm21787"
"278"	"ENSMUSG00000100845"	NA	NA	NA	NA	"Gm28770"
"279"	"ENSMUSG00000096275"	NA	NA	NA	NA	"Gm20901"
"280"	"ENSMUSG00000101771"	NA	NA	NA	NA	"Gm28176"
"281"	"ENSMUSG00000100719"	NA	NA	NA	NA	"Gm28786"
"282"	"ENSMUSG00000101740"	NA	NA	NA	NA	"Gm29360"
"283"	"ENSMUSG00000100050"	NA	NA	NA	NA	"Gm28121"
"284"	"ENSMUSG00000101292"	NA	NA	NA	NA	"Gm29496"
"285"	"ENSMUSG00000100588"	NA	NA	NA	NA	"Gm29497"
"286"	"ENSMUSG00000102050"	NA	NA	NA	NA	"Gm29499"
"287"	"ENSMUSG00000101238"	NA	NA	NA	NA	"Gm28123"
"288"	"ENSMUSG00000100406"	NA	NA	NA	NA	"Gm28120"
"289"	"ENSMUSG00000099526"	NA	NA	NA	NA	"Gm29313"
"290"	"ENSMUSG00000101040"	NA	NA	NA	NA	"Gm29498"
"291"	"ENSMUSG00000100560"	NA	NA	NA	NA	"Gm21180"
"292"	"ENSMUSG00000101272"	NA	NA	NA	NA	"Gm36782"
"293"	"ENSMUSG00000101478"	NA	NA	NA	NA	"Gm20859"
"294"	"ENSMUSG00000101633"	NA	NA	NA	NA	"Gm29839"
"295"	"ENSMUSG00000101283"	NA	NA	NA	NA	"Gm29314"
"296"	"ENSMUSG00000101727"	NA	NA	NA	NA	"Gm29495"
"297"	"ENSMUSG00000100907"	NA	NA	NA	NA	"Gm29310"
"298"	"ENSMUSG00000101960"	NA	NA	NA	NA	"Gm29311"
"299"	"ENSMUSG00000095179"	NA	NA	NA	NA	"Gm21638"
"300"	"ENSMUSG00000101917"	NA	NA	NA	NA	"Gm29312"
"301"	"ENSMUSG00000101205"	NA	NA	NA	NA	"Gm29308"
"302"	"ENSMUSG00000100526"	NA	NA	NA	NA	"Gm29309"
"303"	"ENSMUSG00000101785"	NA	NA	NA	NA	"Gm28702"
"304"	"ENSMUSG00000100149"	NA	NA	NA	NA	"Gm28701"
"305"	"ENSMUSG00000101602"	NA	NA	NA	NA	"Gm28700"
"306"	"ENSMUSG00000099953"	NA	NA	NA	NA	"Gm28699"
"307"	"ENSMUSG00000102032"	NA	NA	NA	NA	"Gm28705"
"308"	"ENSMUSG00000100823"	NA	NA	NA	NA	"Gm28704"
"309"	"ENSMUSG00000099416"	NA	NA	NA	NA	"Gm28540"
"310"	"ENSMUSG00000099606"	NA	NA	NA	NA	"Gm28537"
"311"	"ENSMUSG00000100063"	NA	NA	NA	NA	"Gm28538"
"312"	"ENSMUSG00000100722"	NA	NA	NA	NA	"Gm29569"
"313"	"ENSMUSG00000096898"	"ENSDARG00000035697"	0	"ortholog_one2many"	"spinb"	"Gm20867"
"314"	"ENSMUSG00000101017"	NA	NA	NA	NA	"Gm21658"
"315"	"ENSMUSG00000100366"	NA	NA	NA	NA	"Gm29568"
"316"	"ENSMUSG00000100888"	NA	NA	NA	NA	"Gm29567"
"317"	"ENSMUSG00000100433"	NA	NA	NA	NA	"Gm21198"
"318"	"ENSMUSG00000102111"	NA	NA	NA	NA	"Gm29566"
"319"	"ENSMUSG00000101060"	NA	NA	NA	NA	"Gm29565"
"320"	"ENSMUSG00000099497"	NA	NA	NA	NA	"Gm29147"
"321"	"ENSMUSG00000099479"	NA	NA	NA	NA	"Gm29146"
"322"	"ENSMUSG00000101115"	NA	NA	NA	NA	"Gm28664"
"323"	"ENSMUSG00000100849"	NA	NA	NA	NA	"Gm28663"
"324"	"ENSMUSG00000101194"	NA	NA	NA	NA	"Gm29149"
"325"	"ENSMUSG00000099742"	NA	NA	NA	NA	"Gm29148"
"326"	"ENSMUSG00000100999"	NA	NA	NA	NA	"Gm29145"
"327"	"ENSMUSG00000101562"	NA	NA	NA	NA	"Gm29144"
"328"	"ENSMUSG00000101321"	NA	NA	NA	NA	"Gm28817"
"329"	"ENSMUSG00000100328"	NA	NA	NA	NA	"Gm28816"
"330"	"ENSMUSG00000101098"	NA	NA	NA	NA	"Gm20808"
"331"	"ENSMUSG00000094739"	"ENSDARG00000035697"	0	"ortholog_one2many"	"spinb"	"Gm20806"
"332"	"ENSMUSG00000102071"	NA	NA	NA	NA	"Gm28815"
"333"	"ENSMUSG00000100741"	NA	NA	NA	NA	"Gm28814"
"334"	"ENSMUSG00000101804"	NA	NA	NA	NA	"Gm28813"
"335"	"ENSMUSG00000099849"	NA	NA	NA	NA	"Gm29274"
"336"	"ENSMUSG00000100822"	NA	NA	NA	NA	"Gm29275"
"337"	"ENSMUSG00000101471"	"ENSDARG00000013438"	0	"ortholog_one2many"	"sycp3"	"Gm29276"
"338"	"ENSMUSG00000101455"	NA	NA	NA	NA	"Gm21805"
"339"	"ENSMUSG00000099700"	NA	NA	NA	NA	"Gm29645"
"340"	"ENSMUSG00000101811"	NA	NA	NA	NA	"Gm28312"
"341"	"ENSMUSG00000099833"	NA	NA	NA	NA	"Gm29165"
"342"	"ENSMUSG00000101259"	NA	NA	NA	NA	"Gm21242"
