"ensembl_gene_id"	"mmusculus_homolog_ensembl_gene"	"mmusculus_homolog_associated_gene_name"	"external_gene_name"
"71"	"ENSDARG00000024184"	"ENSMUSG00000000056"	"Narf"	"narf"
"72"	"ENSDARG00000076901"	NA	NA	NA
"73"	"ENSDARG00000009341"	"ENSMUSG00000049134"	"Nrap"	"nrap"
"74"	"ENSDARG00000100546"	NA	NA	"or41a1"
"75"	"ENSDARG00000090804"	"ENSMUSG00000041762"	"Gpr155"	"GPR155"
"76"	"ENSDARG00000016977"	"ENSMUSG00000028136"	"Snx27"	"snx27b"
"77"	"ENSDARG00000058538"	"ENSMUSG00000022636"	"Alcam"	"alcamb"
"78"	"ENSDARG00000102175"	"ENSMUSG00000050440"	"Hamp"	"hamp"
"79"	"ENSDARG00000018153"	"ENSMUSG00000020622"	"Nt5c1b"	"nt5c1ba"
"80"	"ENSDARG00000054533"	"ENSMUSG00000001127"	"Araf"	"araf"
"81"	"ENSDARG00000092243"	NA	NA	NA
"82"	"ENSDARG00000038154"	"ENSMUSG00000021241"	"Isca2"	"isca2"
"83"	"ENSDARG00000036420"	NA	NA	NA
"84"	"ENSDARG00000098726"	"ENSMUSG00000025583"	"Rptor"	"RPTOR"
"85"	"ENSDARG00000098677"	NA	NA	NA
"86"	"ENSDARG00000096511"	NA	NA	NA
"87"	"ENSDARG00000037652"	"ENSMUSG00000039244"	"Ints15"	"ints15"
"88"	"ENSDARG00000027963"	"ENSMUSG00000032936"	"Camkv"	"CAMKV"
"89"	"ENSDARG00000097726"	NA	NA	NA
"90"	"ENSDARG00000105456"	NA	NA	NA
"91"	"ENSDARG00000095680"	NA	NA	NA
"92"	"ENSDARG00000011821"	"ENSMUSG00000032374"	"Plod2"	"plod2"
"93"	"ENSDARG00000095576"	NA	NA	NA
"94"	"ENSDARG00000035875"	"ENSMUSG00000028786"	"Tmem54"	"tmem54b"
"95"	"ENSDARG00000057074"	"ENSMUSG00000031174"	"Rpgr"	"rpgrb"
"96"	"ENSDARG00000075181"	"ENSMUSG00000037157"	"Il22ra1"	NA
"97"	"ENSDARG00000075181"	"ENSMUSG00000022971"	"Ifnar2"	NA
"98"	"ENSDARG00000075181"	"ENSMUSG00000020009"	"Ifngr1"	NA
"99"	"ENSDARG00000075181"	"ENSMUSG00000032089"	"Il10ra"	NA
"100"	"ENSDARG00000077950"	"ENSMUSG00000026849"	"Tor1a"	"tor1"
"101"	"ENSDARG00000077950"	"ENSMUSG00000026848"	"Tor1b"	"tor1"
"102"	"ENSDARG00000079355"	"ENSMUSG00000047414"	"Flrt2"	"flrt2"
"103"	"ENSDARG00000044251"	"ENSMUSG00000089809"	"Rasgef1b"	"rasgef1bb"
"104"	"ENSDARG00000096398"	NA	NA	NA
"105"	"ENSDARG00000003144"	"ENSMUSG00000029499"	"Pxmp2"	"pxmp2"
"106"	"ENSDARG00000016968"	"ENSMUSG00000038828"	"Tmem214"	"tmem214"
"107"	"ENSDARG00000090063"	"ENSMUSG00000033579"	"Fa2h"	"fa2h"
"108"	"ENSDARG00000033789"	"ENSMUSG00000033938"	"Ndufb7"	"ndufb7"
"109"	"ENSDARG00000017522"	"ENSMUSG00000033323"	"Ctdp1"	"ctdp1"
"110"	"ENSDARG00000077860"	"ENSMUSG00000024483"	"Ankhd1"	"ankhd1"
"111"	"ENSDARG00000097025"	NA	NA	NA
"112"	"ENSDARG00000052097"	NA	NA	"trim35-31"
"113"	"ENSDARG00000098675"	NA	NA	NA
"114"	"ENSDARG00000045015"	"ENSMUSG00000006724"	"Cyp27b1"	"cyp27b1"
"115"	"ENSDARG00000101490"	"ENSMUSG00000028849"	"Map7d1"	NA
"116"	"ENSDARG00000008100"	"ENSMUSG00000030495"	"Slc7a10"	"slc7a10a"
"117"	"ENSDARG00000041340"	"ENSMUSG00000030335"	"Mrpl51"	"mrpl51"
"118"	"ENSDARG00000087757"	NA	NA	NA
"119"	"ENSDARG00000110990"	NA	NA	NA
"120"	"ENSDARG00000092491"	NA	NA	NA
"121"	"ENSDARG00000045873"	"ENSMUSG00000020170"	"Frs2"	"frs2a"
"122"	"ENSDARG00000088072"	"ENSMUSG00000020905"	"Usp43"	NA
"123"	"ENSDARG00000096208"	NA	NA	NA
"124"	"ENSDARG00000070874"	NA	NA	"asmt2"
"125"	"ENSDARG00000105588"	NA	NA	NA
"126"	"ENSDARG00000075339"	NA	NA	"ipp"
"127"	"ENSDARG00000045641"	"ENSMUSG00000032376"	"Usp3"	"usp3"
"128"	"ENSDARG00000103025"	"ENSMUSG00000093930"	"Hmgcs1"	"hmgcs1"
"129"	"ENSDARG00000061439"	"ENSMUSG00000090165"	"Ugt1a10"	"ugt5c3"
"130"	"ENSDARG00000061439"	"ENSMUSG00000089675"	"Ugt1a8"	"ugt5c3"
"131"	"ENSDARG00000061439"	"ENSMUSG00000090175"	"Ugt1a9"	"ugt5c3"
"132"	"ENSDARG00000061439"	"ENSMUSG00000035780"	"Ugt2a3"	"ugt5c3"
"133"	"ENSDARG00000061439"	"ENSMUSG00000054545"	"Ugt1a6a"	"ugt5c3"
"134"	"ENSDARG00000061439"	"ENSMUSG00000090124"	"Ugt1a7c"	"ugt5c3"
"135"	"ENSDARG00000061439"	"ENSMUSG00000090145"	"Ugt1a6b"	"ugt5c3"
"136"	"ENSDARG00000061439"	"ENSMUSG00000090171"	"Ugt1a2"	"ugt5c3"
"137"	"ENSDARG00000061439"	"ENSMUSG00000089943"	"Ugt1a5"	"ugt5c3"
"138"	"ENSDARG00000061439"	"ENSMUSG00000106677"	"Ugt2a1"	"ugt5c3"
"139"	"ENSDARG00000061439"	"ENSMUSG00000029268"	"Ugt2a2"	"ugt5c3"
"140"	"ENSDARG00000102553"	NA	NA	NA
"141"	"ENSDARG00000104269"	NA	NA	NA
"142"	"ENSDARG00000052520"	"ENSMUSG00000050931"	"Sgms2"	"sgms2a"
"143"	"ENSDARG00000018542"	"ENSMUSG00000007594"	"Hapln4"	"hapln4"
"144"	"ENSDARG00000074253"	"ENSMUSG00000045591"	"Olig3"	"olig3"
"145"	"ENSDARG00000078768"	NA	NA	NA
"146"	"ENSDARG00000100858"	"ENSMUSG00000034219"	"Septin14"	"zgc:171695"
"147"	"ENSDARG00000062357"	"ENSMUSG00000059187"	"Tafa1"	"TAFA1"
"148"	"ENSDARG00000019135"	"ENSMUSG00000074771"	"Ankef1"	"ankef1a"
"149"	"ENSDARG00000068711"	"ENSMUSG00000022969"	"Il10rb"	"crfb4"
"150"	"ENSDARG00000043002"	"ENSMUSG00000020830"	"Vmo1"	"vmo1a"
"151"	"ENSDARG00000090854"	"ENSMUSG00000044847"	"Lsm11"	"LSM11"
"152"	"ENSDARG00000056683"	"ENSMUSG00000028969"	"Cdk5"	"cdk5"
"153"	"ENSDARG00000098676"	NA	NA	NA
"154"	"ENSDARG00000012446"	"ENSMUSG00000027580"	"Helz2"	"helz2c"
"155"	"ENSDARG00000078567"	"ENSMUSG00000039633"	"Lonrf1"	"lonrf1"
"156"	"ENSDARG00000021444"	"ENSMUSG00000037202"	"Prf1"	"prf1.2"
"157"	"ENSDARG00000029263"	"ENSMUSG00000048763"	"Hoxb3"	"hoxb3a"
"158"	"ENSDARG00000030472"	"ENSMUSG00000045775"	"Slc16a5"	"SLC16A5"
"159"	"ENSDARG00000042515"	"ENSMUSG00000040133"	"Gpr176"	"gpr176"
"160"	"ENSDARG00000042018"	"ENSMUSG00000008136"	"Fhl2"	"fhl2a"
"161"	"ENSDARG00000036943"	"ENSMUSG00000046519"	"Golph3l"	"golph3l"
"162"	"ENSDARG00000015476"	"ENSMUSG00000037801"	"Iqch"	"iqch"
"163"	"ENSDARG00000089954"	"ENSMUSG00000040140"	"Tdrd6"	NA
"164"	"ENSDARG00000002355"	"ENSMUSG00000005951"	"Shpk"	"SHPK"
"165"	"ENSDARG00000069537"	NA	NA	"si:dkey-238c7.16"
"166"	"ENSDARG00000044457"	"ENSMUSG00000029275"	"Gfi1"	"gfi1ab"
"167"	"ENSDARG00000087798"	"ENSMUSG00000027400"	"Pdyn"	"pdyn"
"168"	"ENSDARG00000101106"	NA	NA	NA
"169"	"ENSDARG00000093521"	"ENSMUSG00000031803"	"B3gnt3"	"b3gnt3.3"
"170"	"ENSDARG00000045443"	"ENSMUSG00000054988"	"Agtr1b"	"AGTR1"
"171"	"ENSDARG00000045443"	"ENSMUSG00000049115"	"Agtr1a"	"AGTR1"
"172"	"ENSDARG00000058958"	NA	NA	NA
"173"	"ENSDARG00000019293"	"ENSMUSG00000038482"	"Tfdp1"	"tfdp1a"
"174"	"ENSDARG00000094455"	NA	NA	NA
"175"	"ENSDARG00000097849"	NA	NA	NA
"176"	"ENSDARG00000078167"	NA	NA	NA
"177"	"ENSDARG00000115890"	NA	NA	NA
"178"	"ENSDARG00000101085"	"ENSMUSG00000032526"	"Ss18l2"	"ss18l2"
"179"	"ENSDARG00000007250"	"ENSMUSG00000002395"	"Use1"	"use1"
"180"	"ENSDARG00000113690"	NA	NA	NA
"181"	"ENSDARG00000011449"	"ENSMUSG00000053158"	"Fes"	"fes"
"182"	"ENSDARG00000099200"	NA	NA	"zgc:123103"
"183"	"ENSDARG00000040250"	NA	NA	NA
"184"	"ENSDARG00000044753"	"ENSMUSG00000027406"	"Idh3b"	"idh3b"
"185"	"ENSDARG00000006560"	"ENSMUSG00000021356"	"Irf4"	"irf4a"
"186"	"ENSDARG00000099086"	NA	NA	NA
"187"	"ENSDARG00000074302"	"ENSMUSG00000051212"	"Gpr183"	"gpr183b"
"188"	"ENSDARG00000061371"	"ENSMUSG00000040420"	"Cdh18"	"cdh18a"
"189"	"ENSDARG00000063574"	"ENSMUSG00000039069"	"Mtg2"	"MTG2"
"190"	"ENSDARG00000086471"	"ENSMUSG00000035268"	"Pkig"	"pkig"
"191"	"ENSDARG00000002377"	"ENSMUSG00000018599"	"Mief2"	"mief2"
"192"	"ENSDARG00000052129"	"ENSMUSG00000026278"	"Bok"	"boka"
"193"	"ENSDARG00000098029"	"ENSMUSG00000070577"	"Gm572"	NA
"194"	"ENSDARG00000097268"	NA	NA	NA
"195"	"ENSDARG00000059773"	"ENSMUSG00000038453"	"Srcin1"	"SRCIN1"
"196"	"ENSDARG00000095453"	NA	NA	"si:rp71-17i16.6"
"197"	"ENSDARG00000097673"	NA	NA	NA
"198"	"ENSDARG00000056740"	NA	NA	"tmeff1b"
"199"	"ENSDARG00000033446"	NA	NA	NA
"200"	"ENSDARG00000099899"	NA	NA	NA
"201"	"ENSDARG00000077253"	"ENSMUSG00000042831"	"Alkbh6"	"alkbh6"
"202"	"ENSDARG00000096836"	NA	NA	NA
"203"	"ENSDARG00000105063"	NA	NA	NA
"204"	"ENSDARG00000100694"	"ENSMUSG00000026414"	"Tnnt2"	"TNNT2"
"205"	"ENSDARG00000093799"	"ENSMUSG00000024548"	"Setbp1"	"SETBP1"
"206"	"ENSDARG00000092995"	NA	NA	NA
"207"	"ENSDARG00000052851"	NA	NA	"golph3a"
"208"	"ENSDARG00000009844"	"ENSMUSG00000026544"	"Dusp23"	"dusp23a"
"209"	"ENSDARG00000018871"	"ENSMUSG00000045662"	"Henmt1"	"henmt1"
"210"	"ENSDARG00000102608"	"ENSMUSG00000062198"	"2700097O09Rik"	"zgc:109986"
"211"	"ENSDARG00000003818"	"ENSMUSG00000067713"	"Prkag1"	"prkag1"
"212"	"ENSDARG00000019156"	NA	NA	"haus5"
"213"	"ENSDARG00000038615"	"ENSMUSG00000035953"	"Pip4p1"	"pip4p1a"
"214"	"ENSDARG00000092774"	NA	NA	NA
"215"	"ENSDARG00000092082"	NA	NA	NA
"216"	"ENSDARG00000087457"	NA	NA	NA
"217"	"ENSDARG00000034734"	"ENSMUSG00000002679"	"Med6"	"med6"
"218"	"ENSDARG00000079283"	NA	NA	NA
"219"	"ENSDARG00000021913"	"ENSMUSG00000091415"	"Ak9"	NA
"220"	"ENSDARG00000105120"	"ENSMUSG00000004508"	"Gab2"	"GAB2"
"221"	"ENSDARG00000098157"	NA	NA	NA
"222"	"ENSDARG00000102929"	"ENSMUSG00000054676"	"1600014C10Rik"	"C7H19orf12"
"223"	"ENSDARG00000073688"	NA	NA	NA
"224"	"ENSDARG00000103180"	NA	NA	NA
"225"	"ENSDARG00000090814"	NA	NA	NA
"226"	"ENSDARG00000027141"	"ENSMUSG00000038965"	"Ube2l3"	"ube2l3b"
"227"	"ENSDARG00000102434"	NA	NA	NA
"228"	"ENSDARG00000099967"	NA	NA	NA
"229"	"ENSDARG00000095872"	NA	NA	NA
"230"	"ENSDARG00000052142"	"ENSMUSG00000000532"	"Acvr1b"	"ACVR1B"
"231"	"ENSDARG00000093111"	NA	NA	NA
"232"	"ENSDARG00000069758"	NA	NA	"rbm44"
"233"	"ENSDARG00000039218"	"ENSMUSG00000036357"	"Gpr101"	"GPR101"
"234"	"ENSDARG00000010717"	"ENSMUSG00000049422"	"Chchd10"	"chchd10"
"235"	"ENSDARG00000020449"	"ENSMUSG00000071074"	"Yipf3"	"yipf3"
"236"	"ENSDARG00000038792"	"ENSMUSG00000073209"	"Klf14"	"klf17"
"237"	"ENSDARG00000038792"	"ENSMUSG00000048626"	"Klf17"	"klf17"
"238"	"ENSDARG00000038792"	"ENSMUSG00000070902"	"Zfp352"	"klf17"
"239"	"ENSDARG00000095204"	NA	NA	NA
"240"	"ENSDARG00000017163"	NA	NA	"sinup"
"241"	"ENSDARG00000044015"	"ENSMUSG00000022103"	"Gfra2"	"GFRA2"
"242"	"ENSDARG00000101456"	NA	NA	"acp5b"
"243"	"ENSDARG00000076801"	"ENSMUSG00000024451"	"Arap3"	NA
"244"	"ENSDARG00000003206"	"ENSMUSG00000030086"	"Chchd6"	"chchd6a"
"245"	"ENSDARG00000105543"	NA	NA	NA
"246"	"ENSDARG00000078686"	"ENSMUSG00000026426"	"Arl8a"	"arl8a"
"247"	"ENSDARG00000017835"	NA	NA	"brf1a"
"248"	"ENSDARG00000044318"	"ENSMUSG00000001281"	"Itgb7"	NA
"249"	"ENSDARG00000076025"	"ENSMUSG00000040479"	"Dgkz"	"DGKZ"
"250"	"ENSDARG00000009253"	"ENSMUSG00000021807"	"Rtraf"	"rtraf"
"251"	"ENSDARG00000062549"	"ENSMUSG00000026348"	"Acmsd"	"acmsd"
"252"	"ENSDARG00000037262"	NA	NA	NA
"253"	"ENSDARG00000075855"	NA	NA	NA
"254"	"ENSDARG00000037555"	"ENSMUSG00000037621"	"Atoh8"	"atoh8"
"255"	"ENSDARG00000038976"	"ENSMUSG00000041837"	"Pdcd7"	"pdcd7"
"256"	"ENSDARG00000039349"	"ENSMUSG00000058400"	"Qrfpr"	"QRFPR"
"257"	"ENSDARG00000039349"	"ENSMUSG00000029917"	"Qrfprl"	"QRFPR"
"258"	"ENSDARG00000036588"	NA	NA	"mhc1zba"
"259"	"ENSDARG00000098257"	"ENSMUSG00000052613"	"Pcdh15"	"pcdh15a"
"260"	"ENSDARG00000059351"	NA	NA	"hnrnpa3"
"261"	"ENSDARG00000105553"	NA	NA	NA
"262"	"ENSDARG00000078717"	"ENSMUSG00000026768"	"Itga8"	"ITGA8"
"263"	"ENSDARG00000024219"	NA	NA	"cdk5rap2"
"264"	"ENSDARG00000102612"	"ENSMUSG00000029416"	"Slc15a4"	"slc15a4"
"265"	"ENSDARG00000075818"	"ENSMUSG00000022102"	"Dok2"	NA
"266"	"ENSDARG00000063006"	"ENSMUSG00000069806"	"Cacng7"	"cacng7a"
"267"	"ENSDARG00000097115"	NA	NA	NA
"268"	"ENSDARG00000055560"	NA	NA	"P2RY8"
"269"	"ENSDARG00000099099"	NA	NA	NA
"270"	"ENSDARG00000024771"	"ENSMUSG00000035183"	"Slc24a5"	"slc24a5"
"271"	"ENSDARG00000052846"	"ENSMUSG00000021765"	"Fst"	"fsta"
"272"	"ENSDARG00000092855"	"ENSMUSG00000024135"	"Srbd1"	"SRBD1"
"273"	"ENSDARG00000014024"	"ENSMUSG00000024729"	"Ms4a20"	"ms4a17a.4"
"274"	"ENSDARG00000014024"	"ENSMUSG00000024679"	"Ms4a6d"	"ms4a17a.4"
"275"	"ENSDARG00000014024"	"ENSMUSG00000024677"	"Ms4a6b"	"ms4a17a.4"
"276"	"ENSDARG00000014024"	"ENSMUSG00000079419"	"Ms4a6c"	"ms4a17a.4"
"277"	"ENSDARG00000014024"	"ENSMUSG00000099398"	"Ms4a14"	"ms4a17a.4"
"278"	"ENSDARG00000014024"	"ENSMUSG00000067571"	"Ms4a15"	"ms4a17a.4"
"279"	"ENSDARG00000014024"	"ENSMUSG00000094584"	"Ms4a18"	"ms4a17a.4"
"280"	"ENSDARG00000014024"	"ENSMUSG00000054523"	"Ms4a5"	"ms4a17a.4"
"281"	"ENSDARG00000014024"	"ENSMUSG00000024672"	"Ms4a7"	"ms4a17a.4"
"282"	"ENSDARG00000014024"	"ENSMUSG00000024731"	"Ms4a10"	"ms4a17a.4"
"283"	"ENSDARG00000014024"	"ENSMUSG00000024728"	"Ms4a19"	"ms4a17a.4"
"284"	"ENSDARG00000014024"	"ENSMUSG00000024673"	"Ms4a1"	"ms4a17a.4"
"285"	"ENSDARG00000014024"	"ENSMUSG00000057240"	"Ms4a13"	"ms4a17a.4"
"286"	"ENSDARG00000014024"	"ENSMUSG00000024680"	"Ms4a2"	"ms4a17a.4"
"287"	"ENSDARG00000100531"	"ENSMUSG00000042073"	"Abhd14b"	"abhd14b"
"288"	"ENSDARG00000101319"	NA	NA	"si:ch73-299h12.6"
"289"	"ENSDARG00000055445"	"ENSMUSG00000075044"	"Slc22a29"	"slc22a15"
"290"	"ENSDARG00000055445"	"ENSMUSG00000067656"	"Slc22a27"	"slc22a15"
"291"	"ENSDARG00000055445"	"ENSMUSG00000024757"	"Slc22a19"	"slc22a15"
"292"	"ENSDARG00000055445"	"ENSMUSG00000063590"	"Slc22a28"	"slc22a15"
"293"	"ENSDARG00000055445"	"ENSMUSG00000053303"	"Slc22a26"	"slc22a15"
"294"	"ENSDARG00000055445"	"ENSMUSG00000052562"	"Slc22a30"	"slc22a15"
"295"	"ENSDARG00000089750"	"ENSMUSG00000042243"	"BC051665"	"si:dkey-26g8.5"
"296"	"ENSDARG00000089750"	"ENSMUSG00000074874"	"Ctla2b"	"si:dkey-26g8.5"
"297"	"ENSDARG00000089750"	"ENSMUSG00000021439"	"Ctsq"	"si:dkey-26g8.5"
"298"	"ENSDARG00000089750"	"ENSMUSG00000021441"	"Cts6"	"si:dkey-26g8.5"
"299"	"ENSDARG00000089750"	"ENSMUSG00000074870"	"Cts3"	"si:dkey-26g8.5"
"300"	"ENSDARG00000089750"	"ENSMUSG00000055679"	"Ctsr"	"si:dkey-26g8.5"
"301"	"ENSDARG00000089750"	"ENSMUSG00000057446"	"Cts8"	"si:dkey-26g8.5"
"302"	"ENSDARG00000089750"	"ENSMUSG00000044258"	"Ctla2a"	"si:dkey-26g8.5"
"303"	"ENSDARG00000089750"	"ENSMUSG00000055298"	"Ctsj"	"si:dkey-26g8.5"
"304"	"ENSDARG00000089750"	"ENSMUSG00000021477"	"Ctsl"	"si:dkey-26g8.5"
"305"	"ENSDARG00000089750"	"ENSMUSG00000074871"	"Ctsm"	"si:dkey-26g8.5"
"306"	"ENSDARG00000089750"	"ENSMUSG00000021440"	"Cts7"	"si:dkey-26g8.5"
"307"	"ENSDARG00000089750"	"ENSMUSG00000056728"	"Ctsll3"	"si:dkey-26g8.5"
"308"	"ENSDARG00000089750"	"ENSMUSG00000050345"	"4930486L24Rik"	"si:dkey-26g8.5"
"309"	"ENSDARG00000078529"	"ENSMUSG00000034730"	"Adgrb1"	"ADGRB1"
"310"	"ENSDARG00000094550"	NA	NA	NA
"311"	"ENSDARG00000091169"	"ENSMUSG00000059555"	"Tor4a"	"tor4ab"
"312"	"ENSDARG00000052010"	"ENSMUSG00000031879"	"Ciao2b"	"ciao2b"
"313"	"ENSDARG00000098075"	"ENSMUSG00000028843"	"Sh3bgrl3"	"sh3bgrl3"
"314"	"ENSDARG00000093164"	NA	NA	NA
"315"	"ENSDARG00000093780"	NA	NA	NA
"316"	"ENSDARG00000069595"	"ENSMUSG00000064125"	"Prr36"	NA
"317"	"ENSDARG00000093621"	NA	NA	NA
"318"	"ENSDARG00000045070"	"ENSMUSG00000020689"	"Itgb3"	"itgb3b"
"319"	"ENSDARG00000055901"	"ENSMUSG00000012428"	"Steap4"	"steap4"
"320"	"ENSDARG00000093608"	NA	NA	"ccl34b.1"
"321"	"ENSDARG00000023111"	"ENSMUSG00000059481"	"Plg"	"plg"
"322"	"ENSDARG00000020197"	"ENSMUSG00000058558"	"Rpl5"	"rpl5a"
"323"	"ENSDARG00000040930"	"ENSMUSG00000022419"	"Deptor"	"deptor"
"324"	"ENSDARG00000099685"	"ENSMUSG00000032192"	"Gnb5"	"gnb5a"
"325"	"ENSDARG00000051729"	NA	NA	NA
"326"	"ENSDARG00000098514"	NA	NA	NA
"327"	"ENSDARG00000077778"	"ENSMUSG00000030022"	"Adamts9"	"adamts9"
"328"	"ENSDARG00000057227"	"ENSMUSG00000036411"	"Matcap2"	"MATCAP2"
"329"	"ENSDARG00000092014"	NA	NA	NA
"330"	"ENSDARG00000043431"	"ENSMUSG00000046605"	"B3gntl1"	"b3gntl1"
"331"	"ENSDARG00000029905"	"ENSMUSG00000079484"	"Phyhd1"	"phyhd1"
"332"	"ENSDARG00000077082"	"ENSMUSG00000029007"	"Agtrap"	"agtrap"
"333"	"ENSDARG00000077581"	"ENSMUSG00000039068"	"Zzz3"	"zzz3"
"334"	"ENSDARG00000018593"	"ENSMUSG00000032392"	"Parp16"	"parp16"
"335"	"ENSDARG00000079455"	"ENSMUSG00000121607"	NA	"nlgn4xa"
"336"	"ENSDARG00000071648"	NA	NA	"zgc:113298"
"337"	"ENSDARG00000095337"	NA	NA	NA
"338"	"ENSDARG00000097225"	NA	NA	NA
"339"	"ENSDARG00000097063"	NA	NA	NA
"340"	"ENSDARG00000094616"	NA	NA	NA
"341"	"ENSDARG00000002509"	NA	NA	"zgc:153911"
